iter	MultiClass
0	1.56519782
1	1.399118354
2	1.285717598
3	1.194916558
4	1.13347419
5	1.080041523
6	1.031927839
7	0.9903568798
8	0.9577998492
9	0.9342429434
10	0.9064254903
11	0.8836981932
12	0.8655379986
13	0.8396653449
14	0.8284751095
15	0.793989763
16	0.7772617674
17	0.7538170307
18	0.7400916677
19	0.7264006791
20	0.7146394134
21	0.7062727018
22	0.6856148364
23	0.6782423688
24	0.6720228165
25	0.661340156
26	0.6526950991
27	0.6438884892
28	0.626421947
29	0.6191827554
30	0.6056934566
31	0.5949581289
32	0.5862501528
33	0.5807202325
34	0.576346779
35	0.5708861435
36	0.5625794028
37	0.5539512985
38	0.544847749
39	0.5399732201
40	0.5361788712
41	0.5334123028
42	0.5260839925
43	0.5222442465
44	0.5148054758
45	0.5120648391
46	0.5010343808
47	0.4965893308
48	0.4915916103
49	0.4856590474
50	0.4726240198
51	0.4696455767
52	0.4668066412
53	0.4632511707
54	0.4576865075
55	0.452205569
56	0.4481904333
57	0.44565812
58	0.4397453575
59	0.4337733277
60	0.430073726
61	0.42686277
62	0.4192270669
63	0.4167486269
64	0.415052824
65	0.4127274941
66	0.4083400362
67	0.4054790221
68	0.4007506682
69	0.3942751508
70	0.3923487447
71	0.3908043432
72	0.3835869957
73	0.3803985204
74	0.3791994709
75	0.3766544263
76	0.3743322123
77	0.3698712147
78	0.3634875633
79	0.3620723505
80	0.3608242857
81	0.3576483405
82	0.3545937109
83	0.3518032212
84	0.3500303942
85	0.3467501868
86	0.3444008016
87	0.3423536831
88	0.3387605549
89	0.3358680142
90	0.3347251162
91	0.3303766226
92	0.3294629877
93	0.3261320228
94	0.3246490999
95	0.3219296037
96	0.3209330146
97	0.3185766271
98	0.3156920267
99	0.3117611853
100	0.3098323334
101	0.3084145744
102	0.3048391024
103	0.3036462845
104	0.302091363
105	0.2999549917
106	0.2980285185
107	0.2955501791
108	0.293425601
109	0.2924421117
110	0.2912693622
111	0.2894392111
112	0.2880705009
113	0.2873625427
114	0.2858561339
115	0.2842792007
116	0.2818116493
117	0.2812535849
118	0.2795332575
119	0.2762320603
120	0.2751968084
121	0.2725403319
122	0.2704735135
123	0.2687275394
124	0.267709927
125	0.2668855448
126	0.2647168596
127	0.2636804686
128	0.2624924919
129	0.2609203999
130	0.259519225
131	0.2575801546
132	0.2569712824
133	0.2554712225
134	0.253649665
135	0.2527381575
136	0.250957809
137	0.2502920818
138	0.2499601478
139	0.2488359447
140	0.2467612362
141	0.2444266091
142	0.2437045126
