iter	Passed	Remaining
0	63	63354
1	110	55183
2	154	51482
3	198	49521
4	238	47525
5	278	46104
6	317	45070
7	348	43177
8	384	42352
9	414	41043
10	444	39970
11	472	38889
12	504	38308
13	529	37316
14	557	36625
15	590	36322
16	624	36092
17	653	35660
18	687	35497
19	715	35060
20	742	34630
21	768	34157
22	801	34044
23	826	33621
24	852	33259
25	879	32953
26	910	32802
27	937	32529
28	969	32447
29	1000	32345
30	1028	32162
31	1062	32138
32	1091	31998
33	1119	31820
34	1144	31548
35	1170	31356
36	1203	31322
37	1237	31325
38	1269	31288
39	1297	31135
40	1325	30994
41	1351	30821
42	1383	30785
43	1411	30660
44	1442	30615
45	1469	30475
46	1503	30486
47	1535	30462
48	1563	30348
49	1597	30356
50	1627	30283
51	1655	30183
52	1685	30110
53	1714	30040
54	1751	30089
55	1781	30033
56	1807	29906
57	1834	29797
58	1866	29761
59	1895	29696
60	1924	29630
61	1951	29521
62	1983	29503
63	2012	29434
64	2040	29350
65	2069	29282
66	2098	29228
67	2128	29179
68	2162	29178
69	2197	29200
70	2225	29114
71	2253	29045
72	2288	29064
73	2320	29032
74	2349	28977
75	2378	28918
76	2410	28899
77	2444	28894
78	2480	28923
79	2510	28871
80	2539	28809
81	2575	28829
82	2609	28834
83	2640	28791
84	2672	28770
85	2704	28742
86	2734	28698
87	2767	28681
88	2799	28653
89	2830	28621
90	2857	28542
91	2890	28532
92	2916	28448
93	2950	28438
94	2979	28386
95	3009	28339
96	3038	28285
97	3067	28232
98	3097	28192
99	3130	28177
100	3159	28124
101	3187	28059
102	3223	28070
103	3254	28036
104	3283	27985
105	3316	27968
106	3344	27912
107	3374	27873
108	3408	27864
109	3438	27822
110	3470	27791
111	3498	27738
112	3528	27695
113	3555	27630
114	3583	27578
115	3613	27539
116	3645	27511
117	3672	27451
118	3702	27412
119	3739	27419
120	3766	27364
121	3800	27354
122	3832	27326
123	3864	27301
124	3894	27261
125	3923	27212
126	3957	27204
127	3990	27185
128	4023	27165
129	4056	27145
130	4088	27122
131	4121	27100
132	4150	27053
133	4179	27009
134	4210	26976
135	4237	26920
136	4268	26888
137	4298	26851
138	4325	26791
139	4355	26755
140	4388	26735
141	4421	26713
142	4449	26667
143	4482	26644
144	4511	26603
145	4540	26558
146	4568	26509
147	4596	26460
148	4625	26419
149	4661	26415
150	4692	26384
151	4721	26339
152	4751	26306
153	4781	26269
154	4809	26217
155	4838	26179
156	4875	26177
157	4906	26148
158	4933	26092
159	4964	26064
160	4992	26016
161	5022	25978
162	5055	25958
163	5086	25930
164	5116	25893
165	5149	25872
166	5180	25841
167	5207	25789
168	5239	25761
169	5269	25728
170	5300	25695
171	5328	25653
172	5358	25617
173	5387	25575
174	5416	25533
175	5450	25518
176	5476	25465
177	5507	25432
178	5534	25382
179	5567	25364
180	5593	25310
181	5627	25294
182	5658	25260
183	5688	25228
184	5721	25206
185	5752	25172
186	5785	25150
187	5813	25107
188	5846	25085
189	5877	25058
190	5911	25039
191	5947	25027
192	5972	24973
193	6006	24954
194	6033	24907
195	6058	24851
196	6090	24826
197	6119	24785
198	6151	24760
199	6179	24716
200	6209	24684
201	6241	24658
202	6276	24642
203	6304	24601
204	6335	24569
205	6367	24541
206	6397	24510
207	6426	24468
208	6456	24435
209	6483	24388
210	6515	24362
211	6546	24331
212	6578	24307
213	6608	24271
214	6638	24239
215	6667	24198
216	6695	24160
217	6728	24137
218	6762	24115
219	6792	24082
220	6822	24048
221	6852	24014
222	6882	23981
223	6913	23949
224	6947	23930
225	6977	23895
226	7007	23860
227	7037	23829
228	7065	23787
229	7098	23764
230	7127	23727
231	7166	23722
232	7197	23694
233	7230	23668
234	7255	23618
235	7286	23587
236	7310	23536
237	7337	23493
238	7370	23467
239	7403	23444
240	7431	23403
241	7463	23376
242	7497	23356
243	7529	23330
244	7562	23305
245	7588	23259
246	7618	23226
247	7650	23197
248	7679	23162
249	7710	23131
250	7741	23102
251	7775	23080
252	7808	23053
253	7838	23021
254	7867	22984
255	7897	22951
256	7922	22904
257	7952	22869
258	7981	22835
259	8016	22816
260	8047	22785
261	8076	22749
262	8102	22706
263	8139	22692
264	8176	22677
265	8206	22645
266	8237	22613
267	8268	22584
268	8296	22546
269	8322	22501
270	8348	22456
271	8380	22430
272	8414	22407
273	8440	22363
274	8471	22333
275	8501	22302
276	8530	22265
277	8561	22235
278	8586	22190
279	8617	22159
280	8650	22133
281	8682	22107
282	8710	22068
283	8738	22030
284	8770	22003
285	8800	21969
286	8830	21937
287	8864	21914
288	8894	21882
289	8922	21843
290	8950	21806
291	8978	21769
292	9007	21734
293	9041	21713
294	9075	21689
295	9105	21657
296	9140	21634
297	9177	21619
298	9209	21591
299	9243	21567
300	9270	21528
301	9299	21494
302	9333	21469
303	9361	21432
304	9392	21401
305	9419	21362
306	9449	21330
307	9477	21294
308	9507	21262
309	9537	21228
310	9569	21199
311	9605	21180
312	9635	21147
313	9665	21117
314	9691	21076
315	9728	21056
316	9759	21027
317	9784	20984
318	9814	20953
319	9842	20914
320	9871	20880
321	9901	20847
322	9934	20822
323	9968	20798
324	9999	20768
325	10026	20729
326	10058	20701
327	10092	20677
328	10120	20640
329	10151	20610
330	10180	20576
331	10208	20539
332	10242	20515
333	10271	20481
334	10299	20445
335	10332	20418
336	10360	20382
337	10392	20353
338	10422	20322
339	10447	20280
340	10479	20252
341	10508	20218
342	10538	20186
343	10568	20153
344	10599	20123
345	10637	20106
346	10667	20074
347	10697	20043
348	10722	20001
349	10755	19975
350	10784	19940
351	10813	19906
352	10841	19870
353	10876	19847
354	10908	19818
355	10940	19791
356	10971	19761
357	11006	19738
358	11033	19700
359	11062	19666
360	11089	19629
361	11124	19605
362	11155	19575
363	11185	19543
364	11218	19517
365	11247	19483
366	11278	19452
367	11307	19418
368	11335	19384
369	11364	19351
370	11394	19319
371	11424	19286
372	11458	19261
373	11489	19230
374	11518	19197
375	11544	19159
376	11568	19117
377	11598	19084
378	11627	19051
379	11661	19027
380	11693	18998
381	11724	18968
382	11756	18938
383	11787	18909
384	11814	18873
385	11844	18840
386	11877	18813
387	11908	18782
388	11936	18749
389	11965	18715
390	11998	18687
391	12030	18659
392	12061	18628
393	12092	18598
394	12118	18561
395	12152	18535
396	12185	18508
397	12215	18476
398	12252	18455
399	12286	18429
400	12315	18396
401	12348	18369
402	12380	18340
403	12407	18303
404	12436	18270
405	12469	18243
406	12499	18211
407	12531	18183
408	12560	18149
409	12592	18120
410	12622	18089
411	12651	18056
412	12682	18025
413	12710	17991
414	12739	17958
415	12774	17933
416	12806	17904
417	12834	17870
418	12868	17843
419	12900	17815
420	12927	17779
421	12961	17753
422	12991	17720
423	13025	17695
424	13054	17662
425	13085	17631
426	13112	17595
427	13141	17562
428	13176	17537
429	13206	17506
430	13238	17477
431	13270	17448
432	13303	17420
433	13334	17390
434	13357	17349
435	13390	17321
436	13418	17287
437	13445	17252
438	13474	17218
439	13501	17183
440	13531	17152
441	13564	17124
442	13593	17091
443	13622	17058
444	13646	17019
445	13674	16985
446	13705	16955
447	13736	16924
448	13761	16887
449	13792	16857
450	13822	16825
451	13859	16803
452	13890	16773
453	13922	16743
454	13953	16714
455	13982	16681
456	14009	16645
457	14039	16614
458	14071	16585
459	14098	16550
460	14124	16514
461	14155	16483
462	14187	16455
463	14219	16426
464	14248	16393
465	14277	16361
466	14303	16325
467	14335	16296
468	14370	16269
469	14400	16238
470	14431	16208
471	14462	16178
472	14493	16148
473	14527	16121
474	14561	16094
475	14592	16064
476	14626	16036
477	14658	16008
478	14688	15975
479	14715	15941
480	14743	15907
481	14773	15876
482	14802	15844
483	14831	15811
484	14858	15777
485	14888	15746
486	14916	15713
487	14944	15679
488	14975	15649
489	15005	15618
490	15038	15590
491	15073	15564
492	15101	15530
493	15131	15498
494	15157	15463
495	15191	15436
496	15219	15403
497	15247	15370
498	15279	15340
499	15311	15311
500	15345	15283
501	15376	15254
502	15408	15224
503	15443	15198
504	15473	15167
505	15503	15135
506	15533	15104
507	15561	15071
508	15591	15040
509	15624	15012
510	15654	14980
511	15684	14949
512	15715	14918
513	15745	14887
514	15782	14863
515	15817	14836
516	15849	14807
517	15883	14779
518	15915	14750
519	15942	14716
520	15970	14682
521	16004	14655
522	16035	14624
523	16063	14591
524	16093	14560
525	16125	14531
526	16154	14499
527	16185	14469
528	16218	14440
529	16249	14410
530	16278	14377
531	16309	14347
532	16342	14318
533	16370	14286
534	16398	14252
535	16428	14221
536	16458	14190
537	16486	14157
538	16518	14128
539	16547	14096
540	16575	14063
541	16608	14034
542	16640	14004
543	16664	13968
544	16694	13937
545	16727	13908
546	16756	13877
547	16788	13847
548	16819	13817
549	16842	13780
550	16872	13749
551	16908	13723
552	16935	13689
553	16964	13657
554	16992	13624
555	17020	13591
556	17049	13559
557	17077	13527
558	17110	13498
559	17148	13473
560	17176	13441
561	17205	13409
562	17236	13378
563	17264	13346
564	17293	13314
565	17325	13284
566	17353	13252
567	17382	13220
568	17416	13192
569	17446	13161
570	17477	13131
571	17508	13100
572	17540	13070
573	17570	13040
574	17597	13006
575	17631	12978
576	17662	12948
577	17695	12919
578	17727	12889
579	17755	12857
580	17781	12823
581	17816	12795
582	17849	12767
583	17880	12736
584	17910	12705
585	17940	12674
586	17970	12643
587	17999	12611
588	18027	12579
589	18054	12546
590	18087	12517
591	18118	12487
592	18148	12456
593	18182	12428
594	18214	12397
595	18248	12370
596	18277	12338
597	18309	12308
598	18343	12279
599	18375	12250
600	18410	12222
601	18442	12193
602	18476	12164
603	18503	12131
604	18530	12098
605	18564	12070
606	18595	12039
607	18631	12012
608	18661	11981
609	18691	11950
610	18720	11918
611	18754	11890
612	18783	11858
613	18816	11829
614	18848	11799
615	18880	11769
616	18914	11741
617	18944	11709
618	18973	11678
619	19003	11647
620	19032	11615
621	19061	11583
622	19090	11552
623	19120	11521
624	19155	11493
625	19186	11463
626	19216	11431
627	19248	11402
628	19278	11370
629	19308	11340
630	19342	11311
631	19373	11280
632	19407	11252
633	19439	11221
634	19468	11190
635	19505	11163
636	19538	11133
637	19568	11103
638	19600	11072
639	19630	11042
640	19661	11011
641	19692	10981
642	19725	10951
643	19755	10920
644	19781	10887
